Carimbo de data/hora,"Deseja participar? Ao clicar em ""sim"" você reconhece e concorda com as condições de participação desta pesquisa.",Idade:,Gênero,Ocupação,Formação academica,Você trabalha para,Qual o tamanho da instituição em que você trabalha,Você conhece a LGPD?,Você aplica a legislação preconizada na LGPD em seu trabalho?,Quão importante é o emprego da LGPD no contexto do seu trabalho?,Você sente dificuldade em compreender os detalhes dessa lei?,Analise os itens e responda de acordo com seu nível de concordância [Houve dificuldade na leitura dos dados do quiz],Analise os itens e responda de acordo com seu nível de concordância [Houve tempo de retorno para visualização do score e dicas],Analise os itens e responda de acordo com seu nível de concordância [A ferramenta é de dificil uso e compreensão],Analise os itens e responda de acordo com seu nível de concordância [As perguntas do quiz estão de acordo com a LGPD],Analise os itens e responda de acordo com seu nível de concordância [A ferramenta possui dicas sobre a LGPD a cada pergunta respondida],Analise os itens e responda de acordo com seu nível de concordância [A ferramenta contribuiu para adequação do meu projeto a LGPD],"Marque, pelo menos, três opções que a ferramenta deve enfatizar sobre a LGPD?","Se existir outro tema que você julga importante sobre a LGPD e não foi listado anteriormente, qual(ais) seria(am)?",Será que a ferramenta pode torná-lo mais confiante sobre seus julgamentos a respeito da LGPD? ,"Se você pudesse mudar alguma coisa no (ou em algum outro) LGPD Compliance, o que seria?",Deseja acrescentar algo que não foi contemplado na pesquisa a respeito do uso da ferramenta LGPD Compliance?
27/07/2022 17:30:22,Sim,Entre 21 e 25 anos,Homem,Profissional da área de TI,Graduação,Estudante,Entre 1 e 19 colaboradores (Microempresa),Sim,Não,Importante,Sim,Discordo,Concordo Totalmente,Discordo,Concordo,Concordo,Concordo,"Bases da lei, Dados anonimizados, Transparência de dados",,Sim,Nada,Não
27/07/2022 18:30:20,Sim,Entre 21 e 25 anos,Homem,Profissional da área de TI,Graduação,Setor Privado,Entre 20 e 99 colaboradores  (Pequena empresa),Sim,Não,Importante,Sim,Discordo,Concordo,Discordo Totalmente,Concordo Totalmente,Concordo Totalmente,Concordo,"Compartilhamento de dados, Dados de interesse público, Segurança de dados",,Sim,Nada até o momento,
27/07/2022 18:31:24,Sim,Entre 21 e 25 anos,Homem,Profissional da área de TI,Graduação,Setor Privado,Entre 100 e 499 colaboradores (Média empresa),Sim,Sim,Muito importante,Não,Discordo Totalmente,Indeciso,Discordo Totalmente,Concordo Totalmente,Concordo Totalmente,Concordo Totalmente,"Dados sensíveis, Segurança de dados, Transparência de dados",,Sim,Está de acordo com o esperado. Não mudaria nada por hora.,
27/07/2022 18:54:24,Sim,Entre 21 e 25 anos,Mulher,Profissional da área de saúde ,Ensino Médio,Setor Privado,Entre 1 e 19 colaboradores (Microempresa),Sim,Não,Moderado,Sim,Discordo,Concordo Totalmente,Discordo,Concordo Totalmente,Concordo Totalmente,Concordo,"Compartilhamento de dados, Dados sensíveis, Dados anonimizados, Dados de interesse público, Segurança de dados, Transparência de dados",,Sim,Resumir mais os artigos da Lei ao final do quiz ,Não 
27/07/2022 19:26:34,Sim,Entre 21 e 25 anos,Homem,Profissional da área de TI,Graduação,Setor Privado,Mais que 500 colaboradores (Grande empresa),Sim,Sim,Muito importante,Sim,Discordo,Concordo Totalmente,Discordo Totalmente,Concordo,Concordo Totalmente,Concordo,"Conceitos da lei, Segurança de dados, Transparência de dados",,Sim,Plataforma não precisa mudar! Está bem compreensível as informações em conforme para sua atividade fim! ,Não
27/07/2022 19:33:40,Sim,Entre 26 e 30 anos,Mulher,Profissional da área de TI,Graduação,Setor Privado,Mais que 500 colaboradores (Grande empresa),Sim,Não,Muito importante,Sim,Discordo,Concordo Totalmente,Discordo Totalmente,Concordo,Indeciso,Indeciso,"Compartilhamento de dados, Dados sensíveis, Segurança de dados",,Talvez,Não sei informar,
27/07/2022 21:49:49,Sim,Entre 21 e 25 anos,Homem,Profissional da área de TI,Graduação,Setor Privado,Mais que 500 colaboradores (Grande empresa),Sim,Não,Moderado,Sim,Discordo Totalmente,Discordo,Discordo,Concordo Totalmente,Concordo Totalmente,Concordo Totalmente,"Dados sensíveis, Dados anonimizados, Segurança de dados",,Sim,Não mudaria nada,
28/07/2022 12:57:48,Sim,Entre 26 e 30 anos,Mulher,Profissional da área de TI,Graduação,Setor Privado,Mais que 500 colaboradores (Grande empresa),Sim,Sim,Muito importante,Não,Discordo,Concordo,Discordo Totalmente,Concordo,Concordo,Concordo,"Conceitos da lei, Dados sensíveis, Segurança de dados",,Sim,"Por hora nada, teria que ter um tempo maior de usabilidade.",
28/07/2022 18:50:01,Sim,Entre 31 e 40 anos,Mulher,Profissional da área do direito,Mestrado,Setor Privado,Entre 1 e 19 colaboradores (Microempresa),Sim,Sim,Importante,Não,Discordo Totalmente,Concordo,Discordo Totalmente,Concordo Totalmente,Concordo Totalmente,Concordo,"Compartilhamento de dados, Dados sensíveis, Segurança de dados",,Sim,Nada,
28/07/2022 19:11:17,Sim,Entre 21 e 25 anos,Homem,Profissional da área de TI,Graduação,Setor Privado,Mais que 500 colaboradores (Grande empresa),Sim,Não,Moderado,Sim,Discordo,Discordo,Discordo,Concordo Totalmente,Concordo Totalmente,Concordo Totalmente,"Bases da lei, Conceitos da lei, Compartilhamento de dados, Dados sensíveis, Dados anonimizados, Segurança de dados, Transparência de dados",Nada no momento,Sim,Nada,
